name,name_kn,brand,unit,mrp,stock,category,category_kn,description,image_url,mrp_source
Sunflower Oil,ಸೂರ್ಯಕಾಂತಿ ಎಣ್ಣೆ,Sunpure,1 L,185,,Oil & Ghee,ಎಣ್ಣೆ & ತುಪ್ಪ,"Refined sunflower oil, suryakanti enne in Kannada, the everyday cooking oil in most Karnataka homes for tadka, frying and sabzi. A 1 L pouch lasts a small family one to two weeks.",https://wink-1nn.pages.dev/catalogue/sunflower-oil-1-l.jpg,"https://www.bigbasket.com/pd/274120/sunpure-refined-sunflower-oil-1-l-pouch/ (selling ₹181.5; pricehistory.app records MRP ₹185, Feb 2026; Flipkart ₹220) — Fortune Sunlite and Gold Winner 1 L pouches are in the same band"
Sunflower Oil,ಸೂರ್ಯಕಾಂತಿ ಎಣ್ಣೆ,Sunpure,5 L,872,,Oil & Ghee,ಎಣ್ಣೆ & ತುಪ್ಪ,The same refined sunflower oil in a 5 L jar for households that cook and fry every day; it works out cheaper per litre than pouches. A 5 L jar lasts a family of four about a month to six weeks.,https://wink-1nn.pages.dev/catalogue/sunflower-oil-5-l.jpg,"https://mysunpure.in/collections/oil (brand site MRP ₹872 for the 5 L can; BigBasket https://www.bigbasket.com/pd/274125/sunpure-refined-sunflower-oil-5-l-can/ shows MRP ₹1,125 selling ₹880.5, Zepto ₹825; Sept 2026 — MRP printed on the jar varies by batch)"
Bathing Soap,ಸ್ನಾನದ ಸೋಪು,Santoor Sandal & Turmeric,100 g,40,,Personal Care,ವೈಯಕ್ತಿಕ ಆರೈಕೆ,A bar of bathing soap for daily use. The 100 g bar is the standard family size on every kirana shelf and lasts one person roughly two to three weeks.,https://wink-1nn.pages.dev/catalogue/bathing-soap-100-g.jpg,"https://www.bigbasket.com/pd/263856/santoor-sandal-turmeric-soap-super-saver-pack-100-g/ (single 100 g bar listed Rs 39, Sept 2026); pack MRP about Rs 40-45"
Hair Oil,ಕೂದಲಿನ ಎಣ್ಣೆ,Parachute,100 ml,71,,Personal Care,ವೈಯಕ್ತಿಕ ಆರೈಕೆ,"Pure coconut oil for daily hair oiling, the usual choice in Karnataka homes, and for weekend oil baths. A 100 ml bottle lasts one person around a month.",https://wink-1nn.pages.dev/catalogue/hair-oil-100-ml.jpg,"https://budgetbazaar.online/product/parachute-coconut-oil-100ml-jaar/ (MRP Rs 71, sells Rs 65, Sept 2026)"
Sanitary Pads,ಸ್ಯಾನಿಟರಿ ಪ್ಯಾಡ್,Whisper Choice,8 pcs,45,,Personal Care,ವೈಯಕ್ತಿಕ ಆರೈಕೆ,"Disposable sanitary napkins with wings, in a pouch of 8 pads. One pouch usually covers a single period.",https://wink-1nn.pages.dev/catalogue/sanitary-pads-8-pcs.jpg,"estimate, Sept 2026: Whisper Choice Wings 8-pad pouch and Stayfree Secure XL 6 pads (https://www.bigbasket.com/pd/303412/stayfree-sanitary-pads-secure-xl-cottony-soft-with-wings-6-pads/ Rs 45) sell in the Rs 40-50 band"
Shampoo Bottle,ಶಾಂಪೂ,Clinic Plus,180 ml,118,,Personal Care,ವೈಯಕ್ತಿಕ ಆರೈಕೆ,"Everyday hair-wash shampoo in a bottle rather than sachets, for families who wash hair several times a week. A 180 ml bottle gives roughly 20 to 25 washes.",https://wink-1nn.pages.dev/catalogue/shampoo-bottle-180-ml.jpg,Clinic Plus Strong & Long 175 ml (nearest pack): https://www.bigbasket.com/pd/266631/clinic-plus-strong-long-health-shampoo-175-ml/ Rs 115; BazaarBandhu lists MRP Rs 118; 1mg MRP Rs 133
Shampoo Sachet,ಶಾಂಪೂ,Clinic Plus,5 ml,1,,Personal Care,ವೈಯಕ್ತಿಕ ಆರೈಕೆ,"A single-wash sachet of shampoo, the way most households in Hospet buy shampoo. One sachet is enough for one wash of shoulder-length hair.",https://wink-1nn.pages.dev/catalogue/shampoo-sachet-5-ml.jpg,"https://www.humarabazar.com/product-page/clinic-plus-rs-1 (Clinic Plus Strong & Long Rs 1 sachet, 5.5-6.5 ml, Sept 2026); Rs 2 sachets (about 8 ml) and Chik Rs 1 sachets are the other kirana staples"
Shaving Cream,ಶೇವಿಂಗ್ ಕ್ರೀಮ್,Gillette,70 g,75,,Personal Care,ವೈಯಕ್ತಿಕ ಆರೈಕೆ,"Lather shaving cream in a tube, worked up with a brush or fingers before a razor shave. A 70 g tube gives a month or two of regular shaves.",https://wink-1nn.pages.dev/catalogue/shaving-cream-70-g.jpg,"https://www.bigbasket.com/pd/20004808/gillette-regular-pre-shave-cream-70-g/ (listed Rs 71.25); Budget Bazaar MRP Rs 75, Sept 2026"
Talcum Powder,ಪೌಡರ್,Pond's Dreamflower,100 g,125,,Personal Care,ವೈಯಕ್ತಿಕ ಆರೈಕೆ,Perfumed talc dusted on after a bath to keep the skin dry in Hospet's heat. A 100 g bottle lasts a person about a month in summer.,https://wink-1nn.pages.dev/catalogue/talcum-powder-100-g.jpg,"https://budgetbazaar.online/product/ponds-dream-flower-powder-100g/ (MRP Rs 125, Sept 2026); bigbasket sells the 100 g at Rs 100"
Toothbrush,ಟೂತ್‌ಬ್ರಷ್,Colgate ZigZag,1 pc,30,,Personal Care,ವೈಯಕ್ತಿಕ ಆರೈಕೆ,"A manual toothbrush with soft or medium nylon bristles, sold singly. It should be replaced every three months or when the bristles splay.",https://wink-1nn.pages.dev/catalogue/toothbrush-1-pc.jpg,"typical shelf price, Sept 2026: Colgate ZigZag singles sell at Rs 25-40 (https://www.mkretail.com/product/colgate-tooth-brush-zig-zag-charcoal-soft lists the Charcoal variant at Rs 40)"
Toothpaste,ಟೂತ್‌ಪೇಸ್ಟ್,Colgate Strong Teeth,100 g,76,,Personal Care,ವೈಯಕ್ತಿಕ ಆರೈಕೆ,"Fluoride toothpaste in a squeeze tube for twice-daily brushing. A 100 g tube lasts one adult about a month, or a couple two to three weeks.",https://wink-1nn.pages.dev/catalogue/toothpaste-100-g.jpg,"https://www.bigbasket.com/pd/100006161/colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-formula-provides-fresher-breath-100-g/ (listed Rs 76, Sept 2026); price-history MRP Rs 73"
Basmati Rice,ಬಾಸುಮತಿ ಅಕ್ಕಿ,India Gate,1 kg,159,,Rice & Atta,ಅಕ್ಕಿ & ಹಿಟ್ಟು,"Long-grain, fragrant basmati rice that cooks up long and separate, kept in Karnataka homes for biryani, ghee rice, pulao and festival meals rather than daily rice. A 1 kg pack covers two or three special-occasion meals for a family.",https://wink-1nn.pages.dev/catalogue/basmati-rice-1-kg.jpg,"https://www.bigbasket.com/pd/280154/india-gate-basmati-rice-dubar-1-kg-pouch/ (India Gate Dubar 1 kg, MRP ₹159; India Gate Classic 1 kg is MRP ₹260)"
Idli Rice,ಇಡ್ಲಿ ಅಕ್ಕಿ,,5 kg,250,,Rice & Atta,ಅಕ್ಕಿ & ಹಿಟ್ಟು,"Short, plump parboiled rice (idli akki in Kannada) that is soaked and ground with urad dal for soft idli and dosa batter. A 5 kg bag keeps a family in idli and dosa batter for about a month of weekend breakfasts.",https://wink-1nn.pages.dev/catalogue/idli-rice-5-kg.jpg,https://www.bigbasket.com/pd/10000414/bb-royal-idli-rice-5-kg-pouch/ (₹250; BB Popular 5 kg ₹249) — loose idli/boiled rice at Hospet kiranas is around ₹45–55/kg
Maida,ಮೈದಾ,,500 g,28,,Rice & Atta,ಅಕ್ಕಿ & ಹಿಟ್ಟು,"Refined white wheat flour milled with the bran and germ removed, giving a fine, soft flour. Karnataka homes use it for the outer cover of holige (obbattu), Mangalore buns, samosa and bajji batter, and for bakery-style baking; a 500 g pack suits a family that fries or bakes only now and then.",https://wink-1nn.pages.dev/catalogue/maida-500-g.jpg,"typical shelf price, Sept 2026 — loose or local-mill maida sells at about ₹45–55/kg; packaged 500 g packs (Fortune, Pillsbury, regional mills) list around ₹35–45"
Poha / Avalakki,ಅವಲಕ್ಕಿ,,500 g,40,,Rice & Atta,ಅಕ್ಕಿ & ಹಿಟ್ಟು,"Flattened parboiled rice flakes, called avalakki in Kannada, that soften after a quick rinse. They go into avalakki bath (poha upma), gojjavalakki, mosaru avalakki and festival offerings; a 500 g pack makes four to six breakfasts.",https://wink-1nn.pages.dev/catalogue/poha-avalakki-500-g.jpg,"typical shelf price, Sept 2026 — loose medium/thick avalakki sells at about ₹60–80/kg; Tata Sampann and Fortune 500 g packs list around ₹45–65"
Ragi Flour,ರಾಗಿ ಹಿಟ್ಟು,,1 kg,70,,Rice & Atta,ಅಕ್ಕಿ & ಹಿಟ್ಟು,"Finely milled finger-millet flour, ragi hittu in Kannada, the base of ragi mudde eaten with saaru across North Karnataka and of ragi rotti, dosa and morning ganji. A 1 kg pack gives a family several rounds of mudde or a few weeks of ganji.",https://wink-1nn.pages.dev/catalogue/ragi-flour-1-kg.jpg,"typical shelf price, Sept 2026 — loose mill ragi flour around Hospet is about ₹55–70/kg; packaged 1 kg brands (Manna, 24 Mantra, Vedaka) list ₹80–110"
Rava / Sooji,ರವೆ,Aashirvaad,500 g,48,,Rice & Atta,ಅಕ್ಕಿ & ಹಿಟ್ಟು,"Coarsely ground wheat semolina, called rave in Kannada and sooji or Bombay rava elsewhere. It is the base of upma, kesari bath, rava idli and rava dosa; a 500 g pack covers several breakfasts for a small family.",https://wink-1nn.pages.dev/catalogue/rava-sooji-500-g.jpg,"https://www.bigbasket.com/pd/40293256/aashirvaad-double-roasted-suji-rava-less-moisture-more-quantity-made-from-mp-wheat-500-g/ (listed ₹41.8 discounted, implying MRP about ₹48; Sept 2026) — loose mill rava at kiranas is about ₹40–50/kg"
Sona Masoori Rice,ಸೋನಾ ಮಸೂರಿ ಅಕ್ಕಿ,,25 kg,1500,,Rice & Atta,ಅಕ್ಕಿ & ಹಿಟ್ಟು,"The same everyday medium-grain sona masoori rice in a full 25 kg mill bag, the size most households around Hospet buy for the month. Steamed sona masoori cooks light and separate for plain rice, chitranna and bisi bele bath; a 25 kg bag lasts a family of four roughly a month to six weeks.",https://wink-1nn.pages.dev/catalogue/sona-masoori-rice-25-kg.jpg,"https://www.bigbasket.com/pd/40018886/bb-royal-sona-masoori-steam-rice-25-kg-bag/ (₹1,500; BB Popular 25 kg lists ₹1,263) — local Gangavathi mill bags sell at about ₹1,400–1,700 depending on age and grade"
Sona Masoori Rice,ಸೋನಾ ಮಸೂರಿ ಅಕ್ಕಿ,,5 kg,350,,Rice & Atta,ಅಕ್ಕಿ & ಹಿಟ್ಟು,"Sona Masoori is the medium-grain, lightly aromatic rice that most Karnataka homes cook every day, and much of it is milled around Gangavathi, close to Hospet. Steamed (boiled) sona masoori cooks fluffy and separate, suits plain rice, bisi bele bath and pulao, and a 5 kg bag lasts a small family two to three weeks.",https://wink-1nn.pages.dev/catalogue/sona-masoori-rice-5-kg.jpg,"typical shelf price, Sept 2026 — local mill steam sona masoori sells at about ₹65–70/kg loose or in 5 kg bags; packaged national brands list higher (₹617–699 for 5 kg on flipkart.com / pricee.com, Aug 2026)"
Whole Wheat Atta,ಗೋಧಿ ಹಿಟ್ಟು,Aashirvaad,10 kg,546,,Rice & Atta,ಅಕ್ಕಿ & ಹಿಟ್ಟು,"Whole wheat flour (godhi hittu) in a 10 kg bag for households that make chapati or roti every day, along with poori, paratha and holige. A 10 kg bag lasts a family of four about six to eight weeks and works out cheaper per kilo than smaller packs.",https://wink-1nn.pages.dev/catalogue/whole-wheat-atta-10-kg.jpg,"https://www.bigbasket.com/pd/126906/aashirvaad-atta-whole-wheat-10-kg-pouch/ (₹546; other listings quote MRP ₹489–593 depending on variant and region, Sept 2026)"
Whole Wheat Atta,ಗೋಧಿ ಹಿಟ್ಟು,Aashirvaad,5 kg,325,,Rice & Atta,ಅಕ್ಕಿ & ಹಿಟ್ಟು,"Finely milled whole wheat flour (godhi hittu in Kannada) for soft chapati, phulka and poori, and for the wheat dosa and holige made in North Karnataka homes. A 5 kg pack gives a family of four roughly three to four weeks of daily chapatis.",https://wink-1nn.pages.dev/catalogue/whole-wheat-atta-5-kg.jpg,"https://www.bigbasket.com/pd/126903/aashirvaad-atta-whole-wheat-5-kg-pouch/ (listed ₹277 at 15% off, implying MRP about ₹325; Sept 2026)"
Biscuits - Cream,ಕ್ರೀಮ್ ಬಿಸ್ಕತ್ತು,Britannia Bourbon,150 g,35,,Snacks & Biscuits,ತಿಂಡಿ & ಬಿಸ್ಕತ್ತು,"Sandwich biscuits with a sweet cream filling, most often chocolate (bourbon) or vanilla and orange. A 150 g sleeve is the standard pocket-money pack picked up for school tiffins and evening tea in Karnataka homes.",https://wink-1nn.pages.dev/catalogue/biscuits-cream-150-g.jpg,"https://blinkit.com/prn/britannia-bourbon-the-original-biscuit/prid/263544 (Britannia Bourbon 150 g, MRP ₹35; bigbasket lists the same pack at MRP ₹40, Sept 2026 search)"
Biscuits - Glucose,ಬಿಸ್ಕತ್ತು,Parle-G,300 g,40,,Snacks & Biscuits,ತಿಂಡಿ & ಬಿಸ್ಕತ್ತು,"Plain, lightly sweet glucose biscuits, the everyday tea-time biscuit in most Karnataka homes and dunked in chai or coffee. A 300 g pack keeps a family in biscuits for about a week and is the size usually kept in the kitchen tin.",https://wink-1nn.pages.dev/catalogue/biscuits-glucose-300-g.jpg,"typical shelf price, Sept 2026 (pro-rata estimate: Parle-G 800 g pouch MRP ₹100 on zepto.com / bigbasket, 250 g pack retails about ₹30)"
Biscuits - Marie,ಮೇರಿ ಬಿಸ್ಕತ್ತು,Britannia Marie Gold,250 g,40,,Snacks & Biscuits,ತಿಂಡಿ & ಬಿಸ್ಕತ್ತು,"Thin, crisp, mildly sweet Marie biscuits that are served with tea and coffee across Karnataka and are the usual biscuit offered to guests. A 250 g family pack holds about 45 biscuits, a week or so of tea-time for a small household.",https://wink-1nn.pages.dev/catalogue/biscuits-marie-250-g.jpg,"https://www.bigbasket.com/pd/220244/britannia-marie-gold-biscuits-250-g/ (MRP ₹40, Sept 2026 search)"
Namkeen Mixture,ಮಿಕ್ಸ್ಚರ್,Haldiram's,200 g,60,,Snacks & Biscuits,ತಿಂಡಿ & ಬಿಸ್ಕತ್ತು,"Savoury snack mix of fried sev, boondi, peanuts, flattened rice and dal, spiced and salted. Mixture is the standard evening snack with coffee in Karnataka and is put out for guests; a 200 g pouch fills a snack bowl three or four times.",https://wink-1nn.pages.dev/catalogue/namkeen-mixture-200-g.jpg,"typical shelf price, Sept 2026 (Haldiram's Navratan Mix 200 g: blinkit ₹50, flipkart ₹57, Wellness Forever MRP ₹65 - https://blinkit.com/prn/haldirams-navratan-mixture-namkeen/prid/19297)"
Noodles,ನೂಡಲ್ಸ್,Maggi 2-Minute Masala,70 g,14,,Snacks & Biscuits,ತಿಂಡಿ & ಬಿಸ್ಕತ್ತು,"Instant masala noodles: a dried noodle cake with a spice sachet, ready in a couple of minutes on the stove. The 70 g single pack makes one bowl and is a common quick breakfast or after-school snack, often cooked with chopped onion, tomato and green chilli.",https://wink-1nn.pages.dev/catalogue/noodles-70-g.jpg,"typical shelf price, Sept 2026 (Maggi 2-Minute Masala single 70 g pack has been MRP ₹14 since 2022; 4 x 70 g multipack MRP ₹56 on flipkart/blinkit)"
Potato Chips,ಆಲೂಗಡ್ಡೆ ಚಿಪ್ಸ್,Lay's,52 g,20,,Snacks & Biscuits,ತಿಂಡಿ & ಬಿಸ್ಕತ್ತು,"Thin fried potato crisps in a foil pack, sold in salted, masala and chilli-lime flavours. The 52 g pack is the twenty-rupee size that goes into school bags and bus journeys and is enough for one or two people.",https://wink-1nn.pages.dev/catalogue/potato-chips-52-g.jpg,"typical shelf price, Sept 2026 (Lay's 48-55 g packs are the ₹20 price point in India; pack weight varies by flavour and promotion)"
Rusk,ರಸ್ಕ್,Britannia Toastea,300 g,55,,Snacks & Biscuits,ತಿಂಡಿ & ಬಿಸ್ಕತ್ತು,"Twice-baked slices of sweet bread, crisp and dry, usually with a hint of cardamom or sooji. Rusk is dunked in tea or coffee in the morning and evening; a 300 g pack holds about 25 to 30 slices and lasts a small family a week or two.",https://wink-1nn.pages.dev/catalogue/rusk-300-g.jpg,"typical shelf price, Sept 2026 (bigbasket lists Britannia Toastea Premium Bake Rusk 273-300 g at ₹42 offer price: https://www.bigbasket.com/pd/312568/britannia-toastea-premium-bake-rusk-with-goodness-of-elaichi-sooji-wheat-273-g/ ; 668 g pack MRP ₹140 on blinkit)"
Vermicelli,ಶಾವಿಗೆ,Bambino,400 g,60,,Snacks & Biscuits,ತಿಂಡಿ & ಬಿಸ್ಕತ್ತು,"Thin wheat-semolina noodles, called shavige in Kannada, cooked into shavige upma or bath for breakfast and into sweet payasa (kheer) for festivals. A 400 g pack gives four to five family breakfasts and keeps for months in the tin.",https://wink-1nn.pages.dev/catalogue/vermicelli-400-g.jpg,"typical shelf price, Sept 2026 (Bambino plain vermicelli 400 g lists at MRP ₹46-65 in zeptonow.com / blinkit.com search snippets; the roasted 425 g pack is ₹76 at https://www.bigbasket.com/pd/40086008/bambino-vermicelli-roasted-400-g/)"
Coffee Powder,ಕಾಫಿ ಪುಡಿ,Bru Green Label,200 g,180,,Tea & Coffee,ಚಹಾ & ಕಾಫಿ,"Roasted and ground coffee-chicory blend for the brass filter, called kaafi pudi in Kannada, brewed into strong decoction and mixed with hot milk and sugar for the morning tumbler of filter coffee. A 200 g pack makes decoction for about a month in a two-coffee-a-day household.",https://wink-1nn.pages.dev/catalogue/coffee-powder-200-g.jpg,"https://www.mkretail.com/product/bru-green-label-coffee (Bru Green Label filter coffee 200 g MRP Rs 180, Sept 2026)"
Health Drink Powder,ಆರೋಗ್ಯ ಪಾನೀಯ,Horlicks,500 g,259,,Tea & Coffee,ಚಹಾ & ಕಾಫಿ,"Malted milk-drink powder stirred into a glass of hot or cold milk, the usual morning and bedtime drink for school-going children and older family members. A 500 g jar gives about 25-30 glasses at two spoons each, roughly a month for one regular drinker.",https://wink-1nn.pages.dev/catalogue/health-drink-powder-500-g.jpg,"https://www.bigbasket.com/pd/119386/horlicks-health-nutrition-drink-classic-malt-500-g-jar/ (Horlicks Classic Malt 500 g jar MRP Rs 259 after the Sept 2025 GST cut, listed Rs 264, Sept 2026; Boost 500 g jar MRP Rs 299)"
Instant Coffee,ಇನ್ಸ್ಟಂಟ್ ಕಾಫಿ,Bru Instant,50 g,140,,Tea & Coffee,ಚಹಾ & ಕಾಫಿ,"Soluble coffee granules that dissolve straight into hot milk or water, the quick alternative to filter decoction for a morning or evening cup. A 50 g jar or pouch makes around 25-35 cups, a couple of weeks for a one-coffee-a-day household or a month for occasional use.",https://wink-1nn.pages.dev/catalogue/instant-coffee-50-g.jpg,"https://www.zepto.com/pn/bru-instant-coffee/pvid/d0e468d2-313c-4673-8c49-862a60f6d778 (Bru Instant 50 g pouch MRP Rs 140, Sept 2026; Nescafe Classic 50 g glass jar MRP Rs 230, bigbasket Rs 210)"
Tea Powder,ಚಹಾ ಪುಡಿ,Red Label,250 g,125,,Tea & Coffee,ಚಹಾ & ಕಾಫಿ,"Strong CTC tea dust for boiling with milk and sugar into everyday chai, called chaha pudi in Kannada, the first thing made in most homes each morning and again at four o'clock. A 250 g pack gives around 100-120 cups, roughly a month for a household of two or three tea drinkers.",https://wink-1nn.pages.dev/catalogue/tea-powder-250-g.jpg,"https://blinkit.com/prn/brooke-bond-red-label-tea-250-g/prid/185770 (Brooke Bond Red Label 250 g at Rs 125, Sept 2026; bigbasket carton Rs 120; pricehistory.app shows MRP Rs 125 on 6 Sept 2026 after a Rs 204 peak in March)"
Tea Powder,ಚಹಾ ಪುಡಿ,Tata Tea Gold,500 g,315,,Tea & Coffee,ಚಹಾ & ಕಾಫಿ,"Premium CTC leaf-and-dust tea for milky chai, chaha pudi in Kannada, bought in the larger pack by families where tea is made three or four times a day or for offices and shops. A 500 g pack gives well over 200 cups and lasts a large household a month or more.",https://wink-1nn.pages.dev/catalogue/tea-powder-500-g.jpg,"https://www.grosta.in/product/61/details/tata-tea-gold-leaf-500g (Tata Tea Gold 500 g MRP Rs 315, Sept 2026; another listing shows MRP Rs 360; Red Label 500 g sells at Rs 233 on blinkit)"
